date,nama_kabupaten_kota,produksi_padi
2019-06-01,KOTA BOGOR,6
2019-06-01,KOTA SUKABUMI,985
2019-06-01,KOTA TASIKMALAYA,800
2019-06-01,KOTA BANJAR,0
2019-06-01,KABUPATEN SUBANG,53159
2019-06-01,KABUPATEN TASIKMALAYA,26307
2019-06-01,KABUPATEN MAJALENGKA,26732
2019-06-01,KABUPATEN CIANJUR,52966
2019-06-01,KABUPATEN CIREBON,17660
2019-06-01,KABUPATEN INDRAMAYU,48673
2019-06-01,KABUPATEN BANDUNG,17291
2019-06-01,KABUPATEN SUKABUMI,48840
2019-06-01,KABUPATEN KUNINGAN,10920
2019-06-01,KABUPATEN SUMEDANG,17893
2019-06-01,KABUPATEN BOGOR,17662
2019-06-01,KABUPATEN GARUT,34258
2019-06-01,KABUPATEN CIAMIS,5578
2019-07-01,KABUPATEN CIAMIS,8974
2019-07-01,KABUPATEN BEKASI,35339
2019-07-01,KABUPATEN MAJALENGKA,134865
2019-07-01,KOTA BANDUNG,49
2019-07-01,KOTA CIMAHI,46
2019-07-01,KABUPATEN TASIKMALAYA,63170
2019-07-01,KABUPATEN CIANJUR,85209
2019-07-01,KABUPATEN BANDUNG BARAT,17234
2019-07-01,KOTA CIREBON,54
2019-07-01,KABUPATEN GARUT,50421
2019-07-01,KABUPATEN PANGANDARAN,11747
2019-07-01,KOTA DEPOK,3
2019-07-01,KOTA SUKABUMI,1836
2019-07-01,KABUPATEN KUNINGAN,30551
2019-07-01,KOTA BOGOR,37
2019-07-01,KOTA BEKASI,5
2019-07-01,KABUPATEN CIREBON,46582
2019-07-01,KABUPATEN BANDUNG,18536
2019-07-01,KABUPATEN SUBANG,48391
2019-07-01,KABUPATEN SUKABUMI,49314
2019-07-01,KABUPATEN SUMEDANG,45032
2019-07-01,KOTA TASIKMALAYA,1441
2019-07-01,KABUPATEN PURWAKARTA,17055
2019-07-01,KABUPATEN INDRAMAYU,99068
2019-07-01,KOTA BANJAR,800
2019-07-01,KABUPATEN BOGOR,34212
2019-07-01,KABUPATEN KARAWANG,50978
2019-08-01,KABUPATEN BOGOR,35532
2019-08-01,KABUPATEN KUNINGAN,33307
2019-08-01,KABUPATEN PURWAKARTA,27299
2019-08-01,KABUPATEN BANDUNG,24118
2019-08-01,KOTA BOGOR,53
2019-08-01,KABUPATEN INDRAMAYU,134687
2019-08-01,KABUPATEN PANGANDARAN,50233
2019-08-01,KABUPATEN CIAMIS,36718
2019-08-01,KOTA SUKABUMI,1907
2019-08-01,KOTA BANJAR,4174
2019-08-01,KOTA CIREBON,376
2019-08-01,KABUPATEN TASIKMALAYA,44175
2019-08-01,KABUPATEN SUBANG,99188
2019-08-01,KOTA BANDUNG,199
2019-08-01,KABUPATEN GARUT,39377
2019-08-01,KOTA BEKASI,42
2019-08-01,KOTA DEPOK,47
2019-08-01,KABUPATEN CIANJUR,71476
2019-08-01,KABUPATEN KARAWANG,20402
2019-08-01,KABUPATEN BEKASI,22210
2019-08-01,KABUPATEN CIREBON,49224
2019-08-01,KABUPATEN SUMEDANG,33565
2019-08-01,KOTA TASIKMALAYA,5420
2019-08-01,KABUPATEN SUKABUMI,51797
2019-08-01,KABUPATEN BANDUNG BARAT,13800
2019-08-01,KABUPATEN MAJALENGKA,71962
2019-08-01,KOTA CIMAHI,46
2019-09-01,KOTA TASIKMALAYA,5087
2019-09-01,KABUPATEN CIAMIS,33002
2019-09-01,KABUPATEN PURWAKARTA,8993
2019-09-01,KABUPATEN BANDUNG,45940
2019-09-01,KOTA SUKABUMI,417
2019-09-01,KABUPATEN BEKASI,20227
2019-09-01,KOTA BANJAR,3709
2019-09-01,KABUPATEN SUBANG,87798
2019-09-01,KOTA CIREBON,67
2019-09-01,KABUPATEN INDRAMAYU,239147
2019-09-01,KOTA CIMAHI,18
2019-09-01,KOTA BEKASI,1059
2019-09-01,KABUPATEN MAJALENGKA,15550
2019-09-01,KOTA BOGOR,49
2019-09-01,KABUPATEN SUMEDANG,16563
2019-09-01,KABUPATEN BANDUNG BARAT,9004
2019-09-01,KABUPATEN SUKABUMI,19479
2019-09-01,KABUPATEN KUNINGAN,9019
2019-09-01,KABUPATEN CIANJUR,22854
2019-09-01,KOTA BANDUNG,956
2019-09-01,KABUPATEN BOGOR,10588
2019-09-01,KABUPATEN PANGANDARAN,18567
2019-09-01,KABUPATEN CIREBON,51085
2019-09-01,KABUPATEN GARUT,42730
2019-09-01,KOTA DEPOK,18
2019-09-01,KABUPATEN KARAWANG,64675
2019-09-01,KABUPATEN TASIKMALAYA,26079
2019-10-01,KABUPATEN SUKABUMI,11962
2019-10-01,KOTA TASIKMALAYA,2713
2019-10-01,KOTA CIREBON,17
2019-10-01,KOTA CIMAHI,0
2019-10-01,KABUPATEN GARUT,19216
2019-10-01,KOTA DEPOK,60
2019-10-01,KABUPATEN CIANJUR,27954
2019-10-01,KABUPATEN BOGOR,18401
2019-10-01,KOTA BANJAR,3916
2019-10-01,KABUPATEN BANDUNG,39683
2019-10-01,KOTA BEKASI,437
2019-10-01,KABUPATEN KARAWANG,112292
2019-10-01,KABUPATEN BEKASI,51041
2019-10-01,KABUPATEN CIAMIS,25823
2019-10-01,KABUPATEN SUMEDANG,12273
2019-10-01,KABUPATEN KUNINGAN,3926
2019-10-01,KOTA SUKABUMI,1379
2019-10-01,KOTA BOGOR,4
2019-10-01,KABUPATEN PURWAKARTA,1608
2019-10-01,KABUPATEN MAJALENGKA,6931
2019-10-01,KABUPATEN CIREBON,75162
2019-10-01,KABUPATEN BANDUNG BARAT,8957
2019-10-01,KABUPATEN TASIKMALAYA,18499
2019-10-01,KOTA BANDUNG,1104
2019-10-01,KABUPATEN SUBANG,70990
2019-10-01,KABUPATEN PANGANDARAN,0
2019-10-01,KABUPATEN INDRAMAYU,44675
2019-11-01,KABUPATEN SUKABUMI,11610
2019-11-01,KABUPATEN BEKASI,41863
2019-11-01,KOTA CIMAHI,71
2019-11-01,KABUPATEN CIREBON,12233
2019-11-01,KABUPATEN GARUT,24331
2019-11-01,KABUPATEN KARAWANG,165193
